Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
214129.2515,632,0,2367,28606,,1247639586,Boomer,15
308715.4306,720,0,9271,28731,,910498937.4,Flat Rock,15
215710.9928,60,0,4835,27248,,942909114.4,Franklinville,14
304615.6168,75,0,23585,27288,,1951079100,Eden,14
223115.1188,106,1,8325,27357,,1273124268,Stokesdale,14
183024.5187,112,0,9597,27377,,736936774.9,Whitsett,14
479491.3541,346,4,28360,28001,,3791255242,Albemarle,14
329807.1398,377,1,26988,28086,,2467878462,Kings Mountain,14
494397.0567,458,1,13329,28315,,2049308470,Aberdeen,14
200973.9244,482,0,3224,28357,,998095899.7,Lumber Bridge,14
477095.4607,573,0,10825,28513,,2611479124,Ayden,14
492431.109,642,0,10400,28621,,1827310682,Elkin,14
316910.5898,4,0,5411,27011,,1489580094,Boonville,13
277007.3998,48,0,1600,27212,,1328181375,Blanch,13
658218.837,93,2,38894,27320,,6966725985,Reidsville,13
219611.3096,176,1,11561,27573,,501787874.4,Roxboro,13
300570.4135,231,2,3292,27820,,1787180210,Conway,13
236943.6861,349,0,14526,28016,,1271825920,Bessemer City,13
324856.8547,415,0,15447,28164,,1144736814,Stanley,13
302995.4052,513,0,24213,28401,,925590291.3,Wilmington,13
771852.4486,544,0,39194,28451,,5322314276,Leland,13
179942.2599,656,0,12560,28638,,586195126,Hudson,13
240271.3014,673,0,2986,28665,,1778038259,Purlear,13
203043.7826,769,1,20394,28805,,743578799.6,Asheville,13
151066.8086,30,0,8287,27051,,524680317.8,Walkertown,12
367384.6113,52,0,4014,27229,,2747739849,Candor,12
429373.1982,56,0,9629,27239,,4319759873,Denton,12
168803.971,72,0,16597,27282,,404066994.9,Jamestown,12
